Epoch,Avg KL Divergence,Avg Jensen-Shannon Divergence,Avg Jensen-Shannon Distance
1,9.503244936,2.366033243,1.241488963
2,4.842039517,1.177213563,0.880698939
3,3.115123931,0.761996927,0.698838651
4,2.396363554,0.567368647,0.593008966
5,1.911963574,0.44864099,0.518180817
6,1.719385678,0.382358694,0.467271322
7,1.414499082,0.325488663,0.421847668
8,1.296870186,0.285062107,0.390713991
9,1.128386467,0.253795495,0.364109935
10,1.000199933,0.225885832,0.333662373
11,0.861895742,0.198758937,0.307658081
12,0.837981313,0.181108964,0.288077505
13,0.759266229,0.163578988,0.270954284
14,0.692496345,0.146567409,0.251955004
15,0.625067836,0.134040402,0.236002701
16,0.538191263,0.116762836,0.216613486
17,0.473101842,0.106601307,0.202825373
18,0.451337198,0.107016115,0.201113585
19,0.419983364,0.097899405,0.190584955
20,0.414216925,0.092777766,0.182950462
21,0.376267698,0.087356771,0.17544791
22,0.327771104,0.078380012,0.164658607
23,0.338005049,0.079921192,0.166663875
24,0.293887677,0.071582797,0.155074123
25,0.283142898,0.071306688,0.152791969
26,0.298106329,0.068604618,0.1489333
27,0.255808314,0.062880347,0.142760801
28,0.270893451,0.063139106,0.139048607
29,0.252912449,0.061163496,0.139674005
30,0.234434289,0.059895437,0.135925144
31,0.233575103,0.058715986,0.132281783
32,0.256526453,0.062590276,0.134412866
33,0.253693107,0.056964461,0.132077945
34,0.230610655,0.055400613,0.124874173
35,0.201964979,0.053456156,0.124315201
36,0.213971562,0.052940503,0.121420785
37,0.202321173,0.05184129,0.121255467
38,0.179305535,0.046993835,0.117448536
39,0.16943368,0.050049264,0.116743219
40,0.183401948,0.049199676,0.115880983
41,0.210020903,0.052938925,0.123477361
42,0.193613665,0.047010114,0.112333135
43,0.194882576,0.047187215,0.111944916
44,0.199948371,0.04758932,0.109876036
45,0.206124011,0.048788272,0.114925464
46,0.19315189,0.045977952,0.11195631
47,0.190356927,0.048151052,0.112123912
48,0.168025294,0.045681282,0.107368505
49,0.185461974,0.044423539,0.108964501
50,0.176620494,0.044540326,0.107674853
51,0.168873266,0.041807882,0.101990318
52,0.177965382,0.044738258,0.110743177
53,0.183829919,0.043619437,0.105959233
54,0.181675664,0.045318835,0.107344262
55,0.181383764,0.041035514,0.10295575
56,0.164901997,0.038230974,0.100073308
57,0.176199423,0.041241647,0.100154477
58,0.187561508,0.040993147,0.100186414
59,0.162755525,0.041561102,0.102779199
60,0.18153537,0.043737212,0.106305262
61,0.194993993,0.039728066,0.102754271
62,0.166740536,0.040220011,0.09777801
63,0.176266141,0.040678983,0.099134012
64,0.167696615,0.038605184,0.093057397
65,0.195639314,0.042323946,0.100728401
66,0.161320935,0.0367819,0.089326875
67,0.212595898,0.040104457,0.097928447
68,0.162242285,0.037275502,0.093057576
69,0.19060015,0.045283402,0.101903428
70,0.181249596,0.038098424,0.093081251
